RSS URL,Title,Link,Published,Description,Source
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Kabinet twijfelt niet aan bezuiniging op hoger onderwijs - Voxweb Nieuws,https://news.google.com/rss/articles/CBMijgFBVV95cUxNSlVjUWFidFctRDZHdll6VkVZZVhiX2tWWF81OW1qSWI3RlR2ZmhFUTVxeHo1MWdtWTIzYTgtWEJnWEItcHRMa0U4cG8xQ1lvZUFzTEcwbjlMTzY3UjdOYmdNTFNlckk3V1QxVVlRN1dMNkpEMkhscGpGb3p3RWQ5SXdQdTNsckZERnVub0N3?oc=5,"Mon, 02 Sep 2024 06:27:58 GMT","<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNSlVjUWFidFctRDZHdll6VkVZZVhiX2tWWF81OW1qSWI3RlR2ZmhFUTVxeHo1MWdtWTIzYTgtWEJnWEItcHRMa0U4cG8xQ1lvZUFzTEcwbjlMTzY3UjdOYmdNTFNlckk3V1QxVVlRN1dMNkpEMkhscGpGb3p3RWQ5SXdQdTNsckZERnVub0N3?oc=5"" target=""_blank"">Kabinet twijfelt niet aan bezuiniging op hoger onderwijs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Voxweb Nieuws</font>","{'href': 'https://www.voxweb.nl', 'title': 'Voxweb Nieuws'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,"Geen gratis laptops, maar beter onderwijs - Het Financieele Dagblad",https://news.google.com/rss/articles/CBMieEFVX3lxTE16UndGWmc3RExGLXdFN1l0ZFF3aXk2VE55Y3VhTTAzbkRodVZUcW5TVl9xY3l5LWRsampWQnZscEFJaWpPaVFyRGpDQ0F4TWFBaXpVaVhqdjRsbWd0SktoMzVvc3JyY2ltVzlsNE1QS2k3cW1wMWM5WA?oc=5,"Sun, 01 Sep 2024 22:30:08 GMT","<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE16UndGWmc3RExGLXdFN1l0ZFF3aXk2VE55Y3VhTTAzbkRodVZUcW5TVl9xY3l5LWRsampWQnZscEFJaWpPaVFyRGpDQ0F4TWFBaXpVaVhqdjRsbWd0SktoMzVvc3JyY2ltVzlsNE1QS2k3cW1wMWM5WA?oc=5"" target=""_blank"">Geen gratis laptops, maar beter onderwijs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Het Financieele Dagblad</font>","{'href': 'https://fd.nl', 'title': 'Het Financieele Dagblad'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Hoger onderwijs protesteert tegen bezuinigingen - NPO Radio 1,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNamdIXzRjTFY5eVNVX0VfN01SVmt2NDN4NHRNNjFpclRMak1iQ3B0SmRiS2pBbXFETUtWQlVhMWVFX3Uxc3BsWjY3NlV3NThudEZWcVR2a1Y0RXhBc29DeVdBX1J2N1NHcFliNUtjTWwxS3ZWS2x4SWFwdjJUc3BJektDLUNCR1JTODJVSFZEZ3dmaUE5V1kxNjgwQkZ2RUVnUG9EWEFZSE1Ud2JWalpyZmNOZkgxaU5Uel9uSGNXYkhzWGF0Z2V3XzVsZzdGaXhfcU0wWHh3dTNoSE5oaFV3M0J6dk9QRkxWektibmZB?oc=5,"Mon, 02 Sep 2024 05:09:41 GMT","<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxNamdIXzRjTFY5eVNVX0VfN01SVmt2NDN4NHRNNjFpclRMak1iQ3B0SmRiS2pBbXFETUtWQlVhMWVFX3Uxc3BsWjY3NlV3NThudEZWcVR2a1Y0RXhBc29DeVdBX1J2N1NHcFliNUtjTWwxS3ZWS2x4SWFwdjJUc3BJektDLUNCR1JTODJVSFZEZ3dmaUE5V1kxNjgwQkZ2RUVnUG9EWEFZSE1Ud2JWalpyZmNOZkgxaU5Uel9uSGNXYkhzWGF0Z2V3XzVsZzdGaXhfcU0wWHh3dTNoSE5oaFV3M0J6dk9QRkxWektibmZB?oc=5"" target=""_blank"">Hoger onderwijs protesteert tegen bezuinigingen</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NPO Radio 1</font>","{'href': 'https://www.nporadio1.nl', 'title': 'NPO Radio 1'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Nieuwe ontwikkelingen in het Deventer onderwijs: ‘Dit type brugklas bevordert gelijke kansen’ - De Stentor,https://news.google.com/rss/articles/CBMizwFBVV95cUxQc3ZRN2ZWZUwxcEJ4LUlRRU9ST1pUTFcyTGZoWUpNM0ZzRWJzV01BMnA3RjNTR1NBeGlSbXh4RkxpaU1iRV9OQnljNW1WVWxxblNpU00xYTdGSkJUQjNNMFRGZmp4VHo3MXRCZjk1QlJSLXE1czB0RGFkMzFDYmFLNU9jSXFWd1BMSW56ZTh4R2x4OFJIMlU4dkJ1WFFqVGlRNGc4SUtSR1dGOFBXbm04Q1RURjZsS3R0TlNaYWlzNG0ybWROLXd0aDItdW0wa1E?oc=5,"Mon, 02 Sep 2024 04:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQc3ZRN2ZWZUwxcEJ4LUlRRU9ST1pUTFcyTGZoWUpNM0ZzRWJzV01BMnA3RjNTR1NBeGlSbXh4RkxpaU1iRV9OQnljNW1WVWxxblNpU00xYTdGSkJUQjNNMFRGZmp4VHo3MXRCZjk1QlJSLXE1czB0RGFkMzFDYmFLNU9jSXFWd1BMSW56ZTh4R2x4OFJIMlU4dkJ1WFFqVGlRNGc4SUtSR1dGOFBXbm04Q1RURjZsS3R0TlNaYWlzNG0ybWROLXd0aDItdW0wa1E?oc=5"" target=""_blank"">Nieuwe ontwikkelingen in het Deventer onderwijs: ‘Dit type brugklas bevordert gelijke kansen’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">De Stentor</font>","{'href': 'https://www.destentor.nl', 'title': 'De Stentor'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Column | Explosief mengsel in het hoger onderwijs - NRC,https://news.google.com/rss/articles/CBMijwFBVV95cUxNdmFSbFF0c19xZGNFMExjUnl5MDBRZ2FFbzdLSkZLRi03dV9Bb2VIM2lvMTNybkVHemN3NHM5VmVSX1V6R2tyQ1JsbXZVbUdJNENEMkY4TGZVTW5USmNCejQtd3JHa3ZyR0RLcGFkdEFESVpEbVFZc2tzTk9NcVJEU1QxV3lIcWRsOGloeXNQZw?oc=5,"Mon, 02 Sep 2024 00:00:01 GMT","<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNdmFSbFF0c19xZGNFMExjUnl5MDBRZ2FFbzdLSkZLRi03dV9Bb2VIM2lvMTNybkVHemN3NHM5VmVSX1V6R2tyQ1JsbXZVbUdJNENEMkY4TGZVTW5USmNCejQtd3JHa3ZyR0RLcGFkdEFESVpEbVFZc2tzTk9NcVJEU1QxV3lIcWRsOGloeXNQZw?oc=5"" target=""_blank"">Column | Explosief mengsel in het hoger onderwijs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NRC</font>","{'href': 'https://www.nrc.nl', 'title': 'NRC'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,20 dingen die anders zijn op Franse scholen - Frankrijk.nl,https://news.google.com/rss/articles/CBMihwFBVV95cUxNdGxpZnM2Z0pQNHRLVzFXdk5WcXhYQV8wSTdJd0JTNklOcXJuek9UamVtMTB2Yjd5My1kOVlRNk5aS3NlbmtfeXpzQkh5eXRVaDZLRnlFNzZvcFpqMklwT2ctWXNTSWhKUTVjZGNTb2lMQ3pueENTQlkydUo4OWpwaVpldHRKN00?oc=5,"Sun, 01 Sep 2024 18:45:00 GMT","<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxNdGxpZnM2Z0pQNHRLVzFXdk5WcXhYQV8wSTdJd0JTNklOcXJuek9UamVtMTB2Yjd5My1kOVlRNk5aS3NlbmtfeXpzQkh5eXRVaDZLRnlFNzZvcFpqMklwT2ctWXNTSWhKUTVjZGNTb2lMQ3pueENTQlkydUo4OWpwaVpldHRKN00?oc=5"" target=""_blank"">20 dingen die anders zijn op Franse scholen</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Frankrijk.nl</font>","{'href': 'https://frankrijk.nl', 'title': 'Frankrijk.nl'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Nieuwe ontwikkelingen in het Deventer onderwijs: ‘Dit type brugklas bevordert gelijke kansen’ - AD,https://news.google.com/rss/articles/CBMixgFBVV95cUxORmlqZnlXeDBsaXVMVWs0MnFhTE95XzVZc1ZlbWt4QzVicHhKSFhGUmM2aHA1ZTRydTY1ZDdYZEMzMjg3X0xDSXIzOFVpRXpKaFVLODEwX1luV01pb2FRdVNabzRaeFpDNmpjU2FVLUtkODlUaUNTODdoNVpXelc4Y3V0dlpVVmFlUHVNOWJjanJvdWhOaXNMMGxOX29EWnNSUXVnekxreV85aVFqODJ2NGRlLUlua01wSXNiOVM3MjhyUk02RUE?oc=5,"Mon, 02 Sep 2024 04:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxORmlqZnlXeDBsaXVMVWs0MnFhTE95XzVZc1ZlbWt4QzVicHhKSFhGUmM2aHA1ZTRydTY1ZDdYZEMzMjg3X0xDSXIzOFVpRXpKaFVLODEwX1luV01pb2FRdVNabzRaeFpDNmpjU2FVLUtkODlUaUNTODdoNVpXelc4Y3V0dlpVVmFlUHVNOWJjanJvdWhOaXNMMGxOX29EWnNSUXVnekxreV85aVFqODJ2NGRlLUlua01wSXNiOVM3MjhyUk02RUE?oc=5"" target=""_blank"">Nieuwe ontwikkelingen in het Deventer onderwijs: ‘Dit type brugklas bevordert gelijke kansen’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AD</font>","{'href': 'https://www.ad.nl', 'title': 'AD'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Meester Aart Molendijk 40 jaar in het onderwijs en 25 jaar bij De Wegwijzer - Wijks Nieuws,https://news.google.com/rss/articles/CBMirwFBVV95cUxPZG1FRWliNjFIYnk3VFlubGlOb0RLNW8ya3hfZFFBODdXX0pfS3BsOHp1Qkw2VmxUaVRWUFZWTHlMdG9uWm5VLVlsUUdhenFMUEpZY25tLWo2clBjdFo1ZFd1ZTc5a3JqY08wX0I5MG1SZ1JFWUlVLTFpaUo1dUxEbHhUT3BkY3lpbmhjLWJaNk5wcS1DWGZVOG96NUh4UjVnWWhiVFA4MEVOcVNXU2R3?oc=5,"Sun, 01 Sep 2024 13:15:00 GMT","<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxPZG1FRWliNjFIYnk3VFlubGlOb0RLNW8ya3hfZFFBODdXX0pfS3BsOHp1Qkw2VmxUaVRWUFZWTHlMdG9uWm5VLVlsUUdhenFMUEpZY25tLWo2clBjdFo1ZFd1ZTc5a3JqY08wX0I5MG1SZ1JFWUlVLTFpaUo1dUxEbHhUT3BkY3lpbmhjLWJaNk5wcS1DWGZVOG96NUh4UjVnWWhiVFA4MEVOcVNXU2R3?oc=5"" target=""_blank"">Meester Aart Molendijk 40 jaar in het onderwijs en 25 jaar bij De Wegwijzer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Wijks Nieuws</font>","{'href': 'https://www.wijksnieuws.nl', 'title': 'Wijks Nieuws'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,45-jarig jubileum voor Cobie Monster - Mons als receptioniste in het onderwijs - Harderwijkse Zaken,https://news.google.com/rss/articles/CBMitwFBVV95cUxQVUEyMDMtZ3hTLTVMM0V3QjJhdUQtNDR3SlkwYXpwZkczTXZRYl9wbVhOOUtRNXBvY2c5MnRLdnk3WHczeUNTUjVMUFViaHV3Nm05YlNibDNIOUpvSjBiMlRJM1JPNUJCaXhLeWg1TE01WEYzOUQ1UEJvZS1xekRudFQ1N2JMbFZPVEtibTBYaVQyWHFkV2t5OHAtaGxGM0t5d0JfaXVBNHdiTHNGVFVOWjFfQU9rZG8?oc=5,"Mon, 02 Sep 2024 00:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQVUEyMDMtZ3hTLTVMM0V3QjJhdUQtNDR3SlkwYXpwZkczTXZRYl9wbVhOOUtRNXBvY2c5MnRLdnk3WHczeUNTUjVMUFViaHV3Nm05YlNibDNIOUpvSjBiMlRJM1JPNUJCaXhLeWg1TE01WEYzOUQ1UEJvZS1xekRudFQ1N2JMbFZPVEtibTBYaVQyWHFkV2t5OHAtaGxGM0t5d0JfaXVBNHdiTHNGVFVOWjFfQU9rZG8?oc=5"" target=""_blank"">45-jarig jubileum voor Cobie Monster - Mons als receptioniste in het onderwijs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Harderwijkse Zaken</font>","{'href': 'https://www.harderwijksezaken.nl', 'title': 'Harderwijkse Zaken'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Beatrice van der Borgh 25 jaar juf aan De Garve - Contact Noord,https://news.google.com/rss/articles/CBMioAFBVV95cUxNdExROHU1YjRwVHZBc0pBSDAzdVdscWFPV3hkSnZOZ1VEWDNfcU0za3YzcENGenY2THlpRTBNU3NDdWNOTGoyR1lfa1VCYUxDekI5MFVFb2l6SF9XcU5hX0lDS2xXNzAyVmxFdndpUEVpa3d4Mi1kTDFmcWRVeXd6SmdLT1JHRTVpZHRkelNjWVg2YVBGOF8yZUhGWWs2QkFF?oc=5,"Mon, 02 Sep 2024 06:24:00 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNdExROHU1YjRwVHZBc0pBSDAzdVdscWFPV3hkSnZOZ1VEWDNfcU0za3YzcENGenY2THlpRTBNU3NDdWNOTGoyR1lfa1VCYUxDekI5MFVFb2l6SF9XcU5hX0lDS2xXNzAyVmxFdndpUEVpa3d4Mi1kTDFmcWRVeXd6SmdLT1JHRTVpZHRkelNjWVg2YVBGOF8yZUhGWWs2QkFF?oc=5"" target=""_blank"">Beatrice van der Borgh 25 jaar juf aan De Garve</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Contact Noord</font>","{'href': 'https://www.contactnoord.nl', 'title': 'Contact Noord'}"
